"","Name","Capacity","Location","Surface","Team","Opened","Distance to center field","Type","Roof type","Cost","colorcode"
"1","American Family Field",41900,"Milwaukee, Wisconsin","Grass","Milwaukee Brewers",2001,"400 feet (122 m)","Retro-modern","Retractable",400,"#12284B"
"2","Angel Stadium",45517,"Anaheim, California","Grass","Los Angeles Angels",1966,"396 feet (121 m)","Modern
Retro-modern","Open",24,"#003263"
"3","Busch Stadium",45494,"St. Louis, Missouri","Grass","St. Louis Cardinals",2006,"400 feet (122 m)","Retro-classic","Open",365,"#C41E3A"
"4","Chase Field",48405,"Phoenix, Arizona","Artificial turf","Arizona Diamondbacks",1998,"407 feet (124 m)","Retro-modern","Retractable",354,"#A71930"
"5","Citi Field",41922,"Queens, New York","Grass","New York Mets",2009,"408 feet (124 m)","Retro-classic","Open",900,"#002D72"
"6","Citizens Bank Park",42792,"Philadelphia, Pennsylvania","Grass","Philadelphia Phillies",2004,"401 feet (122 m)","Retro-classic","Open",458,"#E81828"
"7","Comerica Park",41083,"Detroit, Michigan","Grass","Detroit Tigers",2000,"420 feet (128 m)","Retro-classic","Open",300,"#0C2340"
"8","Coors Field",50144,"Denver, Colorado","Grass","Colorado Rockies",1995,"415 feet (126 m)","Retro-classic","Open",300,"#333366"
"9","Dodger Stadium",56000,"Los Angeles, California","Grass","Los Angeles Dodgers",1962,"395 feet (120 m)","Modern","Open",23,"#005A9C"
"10","Fenway Park",37755,"Boston, Massachusetts","Grass","Boston Red Sox",1912,"390 feet (119 m)","Jewel box","Open",0.65,"#BD3039"
"11","Globe Life Field",40300,"Arlington, Texas","Artificial turf","Texas Rangers",2020,"407 feet (124 m)","Retro-modern","Retractable",1100,"#003278"
"12","Great American Ball Park",42319,"Cincinnati, Ohio","Grass","Cincinnati Reds",2003,"404 feet (123 m)","Retro-modern","Open",290,"#C6011F"
"13","Guaranteed Rate Field",40615,"Chicago, Illinois","Grass","Chicago White Sox",1991,"400 feet (122 m)","Modern
Retro-classic","Open",137,"#27251F"
"14","Kauffman Stadium",37903,"Kansas City, Missouri","Grass","Kansas City Royals",1973,"410 feet (125 m)","Modern
Retro-modern","Open",70,"#004687"
"15","LoanDepot Park",36742,"Miami, Florida","Artificial turf","Miami Marlins",2012,"407 feet (124 m)","Contemporary","Retractable",634,"#00A3E0"
"16","Minute Maid Park",41168,"Houston, Texas","Grass","Houston Astros",2000,"409 feet (125 m)[15]","Retro-modern","Retractable",250,"#002D62"
"17","Nationals Park",41339,"Washington, D.C.","Grass","Washington Nationals",2008,"402 feet (123 m)","Retro-modern","Open",693,"#AB0003"
"18","Oracle Park",41265,"San Francisco, California","Grass","San Francisco Giants",2000,"391 feet (119 m)","Retro-classic","Open",357,"#FD5A1E"
"19","Oriole Park at Camden Yards",45971,"Baltimore, Maryland","Grass","Baltimore Orioles",1992,"410 feet (125 m)","Retro-classic","Open",110,"#DF4601"
"20","Petco Park",40209,"San Diego, California","Grass","San Diego Padres",2004,"396 feet (121 m)","Retro-modern","Open",450,"#2F241D"
"21","PNC Park",38747,"Pittsburgh, Pennsylvania","Grass","Pittsburgh Pirates",2001,"399 feet (122 m)","Retro-classic","Open",216,"#FDB827"
"22","Progressive Field",34830,"Cleveland, Ohio","Grass","Cleveland Guardians",1994,"410 feet (125 m)","Retro-modern","Open",175,"#00385D"
"23","RingCentral Coliseum",46847,"Oakland, California","Grass","Oakland Athletics",1966,"400 feet (122 m)","Multipurpose","Open",25.5,"#003831"
"24","Rogers Centre",49286,"Toronto, Ontario","Artificial turf","Toronto Blue Jays",1989,"400 feet (122 m)","Multipurpose","Retractable",570,"#134A8E"
"25","T-Mobile Park",47929,"Seattle, Washington","Grass","Seattle Mariners",1999,"401 feet (122 m)","Retro-modern","Retractable",517,"#0C2C56"
"26","Target Field",38544,"Minneapolis, Minnesota","Grass","Minnesota Twins",2010,"404 feet (123 m)","Retro-modern","Open",555,"#002B5C"
"27","Tropicana Field",25000,"St. Petersburg, Florida","Artificial turf","Tampa Bay Rays",1990,"404 feet (123 m)","Modern
Indoor","Fixed",130,"#092C5C"
"28","Truist Park",41084,"Cumberland, Georgia","Grass","Atlanta Braves",2017,"400 feet (122 m)","Retro-modern","Open",622,"#CE1141"
"29","Wrigley Field",41649,"Chicago, Illinois","Grass","Chicago Cubs",1914,"400 feet (122 m)","Jewel box","Open",0.25,"#0E3386"
"30","Yankee Stadium",46537,"Bronx, New York","Grass","New York Yankees",2009,"408 feet (124 m)","Retro-classic","Open",2300,"#003087"
